研,NGHIÊN,đánh bóng,"Tôi  đánh bóng  một hòn đá (石), cái nằm trên một chiếc ghế.",17
究,CỨU,tìm hiểu,Tôi đã nghiên cứu trong ngôi nhà của tôi được chín(九) năm.,17
留,LƯU,"ở,sống","Tôi sẽ  ở trên đồng(田),và gặt lúa với một cái dao(刀).",17
有,HỮU,tồn tại,"Mặt trăng(月) thì tồn tại,nhưng không ai có thể chạm vào nó",17
産,SẢN,"sản xuất,trồng trọt",Tôi  sản xuất  rau trên cánh đồng của tôi.,17
業,NGHIỆP,"công việc,kinh doanh",Tôi giữ những con cừu (羊) ở trong hàng rào.Nó là  công việc  của tôi.,17
薬,DƯỢC,thuốc,Uống những viên thuốc  thảo dược này để cảm thấy tốt hơn.Rồi chúng ta hãy vui chơi (楽).,17
働,ĐỘNG,làm việc,Mọi người di chuyển(動) và làm việc,17
員,VIÊN,thành viên,Một người trả tiền và được một thẻ thành viên  tàu.,17
士,SĨ,"chiến binh,đấu sĩ","Mười một (十一) samurai,  chiến binh ",17
仕,SĨ,phục vụ,Một võ sĩ (士)  phục vụ  chủ mình.,17
事,SỰ,"điều,thứ",Tôi sẽ viết ra mọi thứ để làm,17
図,ĐỒ,vẽ,Có ai đó đang vẽ.Nó giống như là  ツ và メ,18
官,QUAN,"công chức,viên chức chính phủ",Một  viên chức chính phủ  thì làm  trong một ngôi nhà lớn.,18
館,QUÁN,tòa nhà,Quan chức chính phủ (庁) ăn (食) trong trong tòa nhà này,18
昔,TÍCH,thời gian dài,Hai mươi mốt ngày (日) trước đây là một thời gian dài ,18
借,TÁ,mượn,"Cách đây một thời gian(昔),tôi đã mượn một vài thứ từ một vài người",18
代,ĐẠI,chuyển đổi,"""Tôi sẽ thay đổi vị trí của bạn""",18
貸,THẢI,"cho vay,cho mượn","Thay vì (代) anh ấy, tôi sẽ  cho vay bạn tiền (cho bạn vay tiền)",18
地,ĐỊA,đất,"Trong vùng  đất  này, có một con bọ cạp dưới đất (土).",18
世,THẾ,thế giới,"Chữ hiragana せ giống như là せかい(thế giới),được làm từ chữ kanji này.",18
界,GIỚI,"danh giới,bờ",Có một ranh giới   giữa ruộng lúa của bạn (田) và của tôi.,18
度,ĐỘ,độ,Tay của bạn sẽ cảm thấy ấm áp hơn khi 21 độ trong một ngôi nhà,18
回,HỒI,quay xung quanh,Những thứ này thì  quay xung quanh ,18
用,DỤNG,sử dụng,Đây là hàng rào mà chúng ta  sử dụng ,18
民,DÂN,người,Con người có một miệng (口) và họ tên (氏).,18
注,CHÚ,đổ,"""Hãy cẩn thận, đừng  đổ  nước vào người ông chủ (主)"".",18
意,Ý,suy nghĩ,Lắng nghe âm thanh(音) của trái tim(心) để biết suy nghĩ của bạn,18
頭,ĐẦU,đầu, Đầu  tôi trông giống như một hạt đậu (豆),19
顔,NHAN,mặt,"Khi ông mất chiếc mũ của mình ra khỏi đầu mình, bạn sẽ tìm thấy những vết sẹo trên khuôn mặt",19
声,THANH,"giọng nói,hô","Một võ sĩ đạo (武) cất  tiếng nói  ""ko-e (コエ)"" ở cửa.",19
特,ĐẶC,đặc biệt,Những con bò(牛) là  những động vật đặc biệt ở các đền (寺) Hindu,19
別,BIỆT,"chia,tách",Chúng tôi  chia thịt với một con dao  thành 10.000 (万) miếng.,19
竹,TRÚC,tre,Đây là thể hiện của cây tre,19
合,HỢP,"vừa,phù hợp",Một cái hộp  và cái  nắp  phù hợp  tốt.,19
琴,CẦM,câu trả lời, Câu trả lời của chúng tôi phù hợp (会) giống như là cái hộp tre (竹) và nắp của nó.,19
正,CHÍNH,"đúng,phải",Là đúng khi dừng(止) ở đèn đỏ,19
同,ĐỒNG,"cùng,tương tự",Những người đến ở và những người đi ra ngoài đều  sử dụng  cùng  b&gt; một cái cửa ,19
計,"KÊ, KẾ",đo đạc,"""Hãy  đo thời gian bằng cách đếm.""",19
京,KINH,thủ đô,Những ngôi nhà được xây dựng trên ngọn đồi nhỏ (小)  và nó trở thành   thủ đô,19
